loyalty_number,total_flights,distance,points_accumulated,points_redeemed,months_recorded,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,salary_missing_flag,cancelled_flag,salary_band,clv_band,enrollment_date,cancellation_date,points_balance,redemption_rate,activity_segment,clv_segment,customer_segment
645265,32,45483,45483,381,24,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,73313,Married,Star,4013.95,0,0,Medium,Medium CLV,2013-03-01,,45102,8.37675615064969e-03,Medium Activity,Low CLV,Low Value Regular
885007,42,61487,61487,560,24,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,59278,Married,Aurora,5035.04,0,0,Medium,Medium CLV,2014-12-01,,60927,9.10761624408411e-03,Medium Activity,High CLV,High Value Active
381786,6,10056,10056,0,24,Canada,Newfoundland,"St. John's",A1C 6H9,Male,High School or Below,79731,Married,Star,4766.94,0,0,Medium,Medium CLV,2018-09-01,,10056,0,Low Activity,Medium CLV,Medium Value Casual
553567,12,18481,18481,0,24,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,87635,Married,Star,4669.23,0,1,Medium,Medium CLV,2017-03-01,2017-11-01,18481,0,Low Activity,Medium CLV,Medium Value Casual
995693,9,14812,14812,0,24,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,78573,Divorced,Star,4376.36,0,0,Medium,Medium CLV,2018-05-01,,14812,0,Low Activity,Medium CLV,Medium Value Casual
541078,27,43521,43521,1359,24,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,68089,Married,Star,4739.35,0,0,Medium,Medium CLV,2017-10-01,,42162,3.12263045426346e-02,Medium Activity,Medium CLV,Medium Value Regular
120046,18,26202,26202,1339,24,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,56411,Married,Star,4314.17,0,0,Medium,Medium CLV,2017-07-01,,24863,5.11029692389894e-02,Low Activity,Low CLV,Low Value Low Activity
578837,25,34177,34177,1028,24,Canada,Ontario,Toronto,P5S 6R4,Male,College,,Single,Star,4152.65,1,0,Unknown,Medium CLV,2012-05-01,,33149,3.00787079029757e-02,Medium Activity,Low CLV,Low Value Regular
655614,0,0,0,0,24,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,89566,Divorced,Aurora,4945.07,0,1,Medium,Medium CLV,2015-03-01,2015-11-01,0,0,No Activity,Medium CLV,Medium Value Inactive
342980,29,52358,78537,0,11,Canada,Alberta,Peace River,T9O 2W2,Female,Bachelor,69086,Single,Aurora,19480.5,0,0,Medium,High CLV,2018-02-01,,78537,0,Medium Activity,High CLV,High Value Active
283314,0,0,0,0,24,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,72127,Married,Star,3991.73,0,1,Medium,Medium CLV,2013-04-01,2015-02-01,0,0,No Activity,Low CLV,Low Value Inactive
735304,29,44741,44741,1053,24,Canada,Alberta,Edmonton,T3G 6Y6,Female,Master,128118,Married,Star,3873.65,0,0,High,Medium CLV,2016-12-01,,43688,2.35354596455153e-02,Medium Activity,Low CLV,Low Value Regular
277769,15,22457,22457,0,24,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,48181,Married,Aurora,5054.33,0,0,Low,Medium CLV,2018-05-01,,22457,0,Low Activity,High CLV,High Value Low Activity
232426,0,0,0,0,24,Canada,British Columbia,Vancouver,V1E 4R6,Male,College,,Single,Aurora,5208.35,1,1,Unknown,Medium CLV,2014-03-01,2014-11-01,0,0,No Activity,High CLV,High Value At Risk
140392,32,45974,45974,1185,24,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,96814,Married,Star,3963.39,0,0,Medium,Medium CLV,2013-07-01,,44789,2.57754382912081e-02,Medium Activity,Low CLV,Low Value Regular
487536,0,0,0,0,24,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,102982,Married,Aurora,5181.62,0,1,High,Medium CLV,2015-01-01,2016-09-01,0,0,No Activity,High CLV,High Value At Risk
119408,4,4900,4900,0,24,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,,Single,Star,4760.94,1,0,Unknown,Medium CLV,2018-11-01,,4900,0,Low Activity,Medium CLV,Medium Value Casual
876207,40,71037,71037,983,24,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,99902,Married,Star,4526.95,0,0,Medium,Medium CLV,2014-07-01,,70054,1.38378591438265e-02,Medium Activity,Medium CLV,Medium Value Regular
765973,0,0,0,0,24,Canada,Ontario,Toronto,M2M 7K8,Male,College,,Married,Star,4931.22,1,1,Unknown,Medium CLV,2015-04-01,2015-12-01,0,0,No Activity,Medium CLV,Medium Value Inactive
437269,17,24926,24926,524,24,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,,Single,Star,4654.84,1,1,Unknown,Medium CLV,2016-03-01,2018-01-01,24402,2.10222257883335e-02,Low Activity,Medium CLV,Medium Value Casual
971599,25,32565,32565,1081,24,Canada,Alberta,Banff,T4V 1D4,Male,College,,Single,Star,4468.51,1,0,Unknown,Medium CLV,2013-06-01,,31484,3.3195148165208e-02,Medium Activity,Medium CLV,Medium Value Regular
324557,34,52567,52567,645,24,Canada,Quebec,Montreal,H2Y 2W2,Female,College,,Single,Star,3914.72,1,0,Unknown,Medium CLV,2013-02-01,,51922,1.22700553579242e-02,Medium Activity,Low CLV,Low Value Regular
776830,0,0,0,0,24,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,47545,Married,Aurora,5218.97,0,1,Low,Medium CLV,2014-05-01,2014-07-01,0,0,No Activity,High CLV,High Value At Risk
279409,38,49182,49182,0,24,Canada,Manitoba,Winnipeg,R2C 0M5,Female,College,,Single,Star,4784.42,1,0,Unknown,Medium CLV,2016-10-01,,49182,0,Medium Activity,Medium CLV,Medium Value Regular
654578,40,63291,63291,1029,24,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,89537,Married,Star,4764.86,0,0,Medium,Medium CLV,2014-07-01,,62262,1.62582357681187e-02,Medium Activity,Medium CLV,Medium Value Regular
692096,43,61585,61585,807,24,Canada,Manitoba,Winnipeg,R2C 0M5,Female,High School or Below,39000,Single,Star,4914.04,0,0,Low,Medium CLV,2017-01-01,,60778,1.3103840220833e-02,High Activity,Medium CLV,Medium Value Power User
686728,75,118734,178101,0,11,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,80816,Single,Nova,5989.77,0,0,Medium,Medium CLV,2018-03-01,,178101,0,High Activity,High CLV,High Value Frequent Flyer
773261,29,48441,48441,0,24,Canada,British Columbia,Vancouver,V1E 4R6,Female,College,,Divorced,Aurora,5018.73,1,0,Unknown,Medium CLV,2012-11-01,,48441,0,Medium Activity,High CLV,High Value Active
822694,47,70355,70355,1675,24,Canada,Ontario,London,M5B 3E4,Male,Bachelor,49577,Married,Star,4855.77,0,0,Low,Medium CLV,2018-06-01,,68680,2.38078317106105e-02,High Activity,Medium CLV,Medium Value Power User
386363,40,58086,58086,1098,24,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,72667,Married,Aurora,4961.41,0,0,Medium,Medium CLV,2013-08-01,,56988,1.89030058878215e-02,Medium Activity,Medium CLV,Medium Value Regular
894466,36,50240,50240,782,24,Canada,Ontario,Toronto,M2M 7K8,Female,Bachelor,80692,Married,Star,4625.55,0,0,Medium,Medium CLV,2014-02-01,,49458,1.55652866242038e-02,Medium Activity,Medium CLV,Medium Value Regular
274698,29,47450,47450,0,24,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,57188,Married,Star,4434.41,0,1,Medium,Medium CLV,2013-09-01,2018-03-01,47450,0,Medium Activity,Medium CLV,Medium Value Regular
743510,32,48149,48149,417,24,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Star,4196.65,1,0,Unknown,Medium CLV,2016-05-01,,47732,8.66061600448607e-03,Medium Activity,Low CLV,Low Value Regular
956191,36,47626,47626,1089,24,Canada,New Brunswick,Moncton,E1A 2A7,Female,Bachelor,61070,Divorced,Aurora,5217.51,0,0,Medium,Medium CLV,2017-08-01,,46537,2.28656616134044e-02,Medium Activity,High CLV,High Value Active
166577,48,82677,82677,2482,24,Canada,Ontario,Toronto,M2M 7K8,Male,College,,Single,Aurora,5162.12,1,0,Unknown,Medium CLV,2015-10-01,,80195,3.00204409932629e-02,High Activity,High CLV,High Value Frequent Flyer
141233,38,61627,61627,1518,24,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,,Married,Aurora,5050.83,1,0,Unknown,Medium CLV,2014-10-01,,60109,2.4632060622779e-02,Medium Activity,High CLV,High Value Active
417886,38,52764,52764,1428,24,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,91100,Married,Star,4425.91,0,0,Medium,Medium CLV,2015-02-01,,51336,2.7063907209461e-02,Medium Activity,Medium CLV,Medium Value Regular
555112,8,11833,11833,0,24,Canada,Quebec,Montreal,H2Y 4R4,Female,College,,Single,Star,4740.2,1,1,Unknown,Medium CLV,2013-11-01,2017-08-01,11833,0,Low Activity,Medium CLV,Medium Value Casual
365816,40,69545,69545,1083,24,Canada,Ontario,Toronto,P5S 6R4,Male,Master,123828,Married,Star,4636.55,0,0,High,Medium CLV,2016-08-01,,68462,1.55726508016392e-02,Medium Activity,Medium CLV,Medium Value Regular
744675,39,57336,57336,0,24,Canada,Ontario,Kingston,M9K 2P4,Female,Bachelor,60757,Married,Star,4521.19,0,0,Medium,Medium CLV,2015-02-01,,57336,0,Medium Activity,Medium CLV,Medium Value Regular
354730,20,36872,36872,0,24,Canada,New Brunswick,Fredericton,E3B 2H2,Female,College,,Married,Star,3885.46,1,1,Unknown,Medium CLV,2014-10-01,2018-01-01,36872,0,Low Activity,Low CLV,Low Value Low Activity
279419,81,132093,132093,4221,24,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,,Single,Star,4117.37,1,0,Unknown,Medium CLV,2013-07-01,,127872,3.19547591469646e-02,High Activity,Low CLV,Low Value Active
223946,43,56951,56951,434,24,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,91978,Divorced,Aurora,4942.87,0,0,Medium,Medium CLV,2015-07-01,,56517,7.62058611789082e-03,High Activity,Medium CLV,Medium Value Power User
660554,17,25161,25161,1258,24,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,61809,Married,Star,4282.95,0,0,Medium,Medium CLV,2017-10-01,,23903,4.99980127975836e-02,Low Activity,Low CLV,Low Value Low Activity
439296,45,63142,63142,960,24,Canada,Ontario,Ottawa,K1G 4Z0,Female,Bachelor,60295,Married,Aurora,5133.64,0,0,Medium,Medium CLV,2015-03-01,,62182,1.52038262962846e-02,High Activity,High CLV,High Value Frequent Flyer
910875,32,51583,51583,483,24,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,84914,Married,Star,3966.13,0,0,Medium,Medium CLV,2012-11-01,,51100,9.36355000678518e-03,Medium Activity,Low CLV,Low Value Regular
879892,18,22819,22819,0,24,Canada,Ontario,Toronto,M2M 6J7,Male,Bachelor,71797,Divorced,Star,4363.12,0,0,Medium,Medium CLV,2018-05-01,,22819,0,Low Activity,Medium CLV,Medium Value Casual
696577,25,51560,77340,1323,11,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,58713,Single,Nova,3757.8,0,0,Medium,Medium CLV,2018-04-01,,76017,1.71062839410396e-02,Medium Activity,Low CLV,Low Value Regular
807589,58,88720,88720,1792,24,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,72205,Married,Star,4898.96,0,0,Medium,Medium CLV,2016-11-01,,86928,2.01983769161407e-02,High Activity,Medium CLV,Medium Value Power User
823112,53,72863,72863,0,24,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,57975,Married,Aurora,5107.16,0,0,Medium,Medium CLV,2015-03-01,,72863,0,High Activity,High CLV,High Value Frequent Flyer
605877,41,72699,72699,1877,24,Canada,Ontario,Toronto,P1J 8T7,Female,College,,Married,Star,4455.84,1,0,Unknown,Medium CLV,2016-12-01,,70822,2.5818787053467e-02,Medium Activity,Medium CLV,Medium Value Regular
957127,27,42445,42445,0,24,Canada,New Brunswick,Moncton,E1A 2A7,Male,Bachelor,55983,Married,Star,4911,0,0,Medium,Medium CLV,2012-10-01,,42445,0,Medium Activity,Medium CLV,Medium Value Regular
497494,29,45620,45620,1003,24,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,59207,Married,Star,4601.91,0,0,Medium,Medium CLV,2016-07-01,,44617,2.19859710653222e-02,Medium Activity,Medium CLV,Medium Value Regular
395121,28,40399,40399,394,24,Canada,Ontario,Toronto,M1R 4K3,Male,Bachelor,84597,Divorced,Aurora,5094.52,0,0,Medium,Medium CLV,2015-10-01,,40005,9.75271665140226e-03,Medium Activity,High CLV,High Value Active
574560,0,0,0,0,24,Canada,Ontario,Toronto,P5S 6R4,Female,High School or Below,78644,Divorced,Star,4770.74,0,1,Medium,Medium CLV,2014-06-01,2016-04-01,0,0,No Activity,Medium CLV,Medium Value Inactive
883349,0,0,0,0,24,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,67182,Married,Star,4908.12,0,1,Medium,Medium CLV,2014-04-01,2014-12-01,0,0,No Activity,Medium CLV,Medium Value Inactive
591576,0,0,0,0,24,Canada,Quebec,Montreal,H2Y 4R4,Female,College,,Single,Star,4531.68,1,0,Unknown,Medium CLV,2012-11-01,,0,0,No Activity,Medium CLV,Medium Value Inactive
428919,35,54829,54829,0,24,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,58209,Divorced,Star,4139.9,0,0,Medium,Medium CLV,2015-07-01,,54829,0,Medium Activity,Low CLV,Low Value Regular
763061,16,28415,28415,515,24,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,56845,Married,Star,4126.61,0,0,Medium,Medium CLV,2014-04-01,,27900,1.81242301601267e-02,Low Activity,Low CLV,Low Value Low Activity
149542,0,0,0,0,24,Canada,Ontario,Toronto,P1W 1K4,Male,Bachelor,89094,Married,Star,4631.01,0,1,Medium,Medium CLV,2014-10-01,2014-11-01,0,0,No Activity,Medium CLV,Medium Value Inactive
416620,3,6753,6753,0,24,Canada,Quebec,Montreal,H2Y 4R4,Male,Bachelor,58863,Married,Star,4862.91,0,0,Medium,Medium CLV,2018-09-01,,6753,0,Low Activity,Medium CLV,Medium Value Casual
342958,21,32757,32757,534,24,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,47545,Married,Aurora,5218.97,0,0,Low,Medium CLV,2017-10-01,,32223,1.63018591446103e-02,Low Activity,High CLV,High Value Low Activity
767728,9,14518,14518,348,24,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,56104,Married,Star,4795.39,0,0,Medium,Medium CLV,2018-07-01,,14170,2.3970243835239e-02,Low Activity,Medium CLV,Medium Value Casual
796670,45,70442,70442,814,24,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,47536,Married,Star,4035.68,0,0,Low,Medium CLV,2014-02-01,,69628,1.15556060304932e-02,High Activity,Low CLV,Low Value Active
294753,40,63409,63409,885,24,Canada,Ontario,Trenton,K8V 4B2,Female,College,,Single,Star,4463.61,1,0,Unknown,Medium CLV,2015-01-01,,62524,1.39570092573609e-02,Medium Activity,Medium CLV,Medium Value Regular
342483,51,89628,134441,448,11,Canada,Alberta,Calgary,T3E 2V9,Male,College,,Single,Aurora,23706.11,1,0,Unknown,High CLV,2018-03-01,,133993,3.33231677836374e-03,High Activity,High CLV,High Value Frequent Flyer
306288,24,31126,31126,0,24,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,47792,Married,Star,4892.44,0,1,Low,Medium CLV,2013-11-01,2018-01-01,31126,0,Medium Activity,Medium CLV,Medium Value Regular
618309,32,41300,41300,0,24,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,78749,Single,Aurora,5010.38,0,0,Medium,Medium CLV,2016-05-01,,41300,0,Medium Activity,High CLV,High Value Active
484733,19,27495,27495,0,24,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,77473,Married,Aurora,5029.67,0,0,Medium,Medium CLV,2017-07-01,,27495,0,Low Activity,High CLV,High Value Low Activity
642313,33,47139,47139,1506,24,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Married,Star,3885.46,1,0,Unknown,Medium CLV,2016-03-01,,45633,0.03194806847833,Medium Activity,Low CLV,Low Value Regular
713329,47,64182,64182,0,24,Canada,Ontario,Toronto,M2M 6J7,Male,Bachelor,88748,Married,Star,4685.5,0,0,Medium,Medium CLV,2017-03-01,,64182,0,High Activity,Medium CLV,Medium Value Power User
645919,42,57252,85878,0,11,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,66297,Divorced,Aurora,7484.31,0,0,Medium,High CLV,2018-03-01,,85878,0,Medium Activity,High CLV,High Value Active
543978,44,77291,77291,766,24,Canada,Ontario,Toronto,M2M 6J7,Female,Bachelor,97676,Married,Aurora,5123.17,0,0,Medium,Medium CLV,2015-09-01,,76525,9.9105976116236e-03,High Activity,High CLV,High Value Frequent Flyer
123928,0,0,0,0,24,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,52589,Divorced,Star,4624.56,0,0,Medium,Medium CLV,2018-12-01,,0,0,No Activity,Medium CLV,Medium Value Inactive
682308,37,52497,52497,493,24,Canada,Quebec,Montreal,H4G 3T4,Male,College,,Married,Aurora,5079.83,1,0,Unknown,Medium CLV,2014-02-01,,52004,9.39101281978018e-03,Medium Activity,High CLV,High Value Active
501704,39,41150,41150,3593,24,Canada,Quebec,Hull,J8Y 3Z5,Male,College,,Divorced,Star,3974.86,1,0,Unknown,Medium CLV,2013-05-01,,37557,8.7314702308627e-02,Medium Activity,Low CLV,Low Value Regular
268094,16,21903,21903,650,24,Canada,Quebec,Hull,J8Y 3Z5,Female,College,,Single,Star,4921.75,1,0,Unknown,Medium CLV,2017-10-01,,21253,2.96763000502214e-02,Low Activity,Medium CLV,Medium Value Casual
672103,40,47963,47963,2363,24,Canada,British Columbia,Whistler,V6T 1Y8,Male,College,,Single,Star,4811.74,1,0,Unknown,Medium CLV,2018-11-01,,45600,4.92671434230553e-02,Medium Activity,Medium CLV,Medium Value Regular
518249,29,43032,43032,625,24,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,68532,Single,Aurora,5079.67,0,0,Medium,Medium CLV,2018-05-01,,42407,1.45240751068972e-02,Medium Activity,High CLV,High Value Active
485397,42,57539,57539,0,24,Canada,Newfoundland,"St. John's",A1C 6H9,Male,High School or Below,64090,Married,Aurora,4969.36,0,0,Medium,Medium CLV,2013-07-01,,57539,0,Medium Activity,Medium CLV,Medium Value Regular
399982,35,40897,40897,689,24,Canada,British Columbia,Vancouver,V6E 3D9,Female,College,,Single,Star,4529.98,1,0,Unknown,Medium CLV,2013-06-01,,40208,1.6847201506223e-02,Medium Activity,Medium CLV,Medium Value Regular
282930,20,31651,31651,905,24,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Married,Aurora,5201.71,1,0,Unknown,Medium CLV,2013-07-01,,30746,2.85930934251682e-02,Low Activity,High CLV,High Value Low Activity
270723,40,52141,52141,1042,24,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,72435,Single,Star,4732.22,0,0,Medium,Medium CLV,2014-09-01,,51099,1.99842734124777e-02,Medium Activity,Medium CLV,Medium Value Regular
269070,42,56484,56484,1300,24,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Master,93153,Married,Star,3985.32,0,0,Medium,Medium CLV,2013-01-01,,55184,2.30153671836272e-02,Medium Activity,Low CLV,Low Value Regular
907743,5,10225,10225,0,24,Canada,Ontario,Toronto,M1R 4K3,Male,College,,Married,Aurora,5029.64,1,0,Unknown,Medium CLV,2018-09-01,,10225,0,Low Activity,High CLV,High Value Low Activity
640244,34,57899,57899,1552,24,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,56178,Married,Aurora,5126.54,0,0,Medium,Medium CLV,2014-09-01,,56347,2.68052988825368e-02,Medium Activity,High CLV,High Value Active
816593,38,62856,62856,1909,24,Canada,British Columbia,Victoria,V10 6T5,Male,College,,Single,Star,4398.05,1,0,Unknown,Medium CLV,2015-11-01,,60947,3.03710067455772e-02,Medium Activity,Medium CLV,Medium Value Regular
568286,29,52020,52020,1447,24,Canada,New Brunswick,Fredericton,E3B 2H2,Male,College,,Single,Star,4837.93,1,0,Unknown,Medium CLV,2016-05-01,,50573,2.78162245290273e-02,Medium Activity,Medium CLV,Medium Value Regular
740762,57,87831,87831,1032,24,Canada,Ontario,Toronto,M2M 6J7,Male,Bachelor,97502,Married,Star,4719.45,0,0,Medium,Medium CLV,2015-11-01,,86799,1.17498377566007e-02,High Activity,Medium CLV,Medium Value Power User
789421,30,41637,41637,0,24,Canada,British Columbia,Vancouver,V1E 4R6,Female,College,,Single,Star,4217.86,1,0,Unknown,Medium CLV,2016-11-01,,41637,0,Medium Activity,Low CLV,Low Value Regular
559233,4,4308,4308,730,24,Canada,Ontario,Kingston,M9K 2P4,Female,Bachelor,87262,Married,Star,4349.31,0,0,Medium,Medium CLV,2018-07-01,,3578,0.169452181987001,Low Activity,Medium CLV,Medium Value Casual
527622,41,63808,63808,1425,24,Canada,Ontario,Toronto,M2M 6J7,Male,Bachelor,59023,Married,Star,4719.76,0,0,Medium,Medium CLV,2016-02-01,,62383,2.23326228686058e-02,Medium Activity,Medium CLV,Medium Value Regular
755538,32,36183,36183,948,24,Canada,Quebec,Montreal,H2Y 2W2,Male,High School or Below,74119,Divorced,Aurora,5229.68,0,0,Medium,Medium CLV,2016-02-01,,35235,2.62001492413564e-02,Medium Activity,High CLV,High Value Active
646168,35,50221,50221,615,24,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,84300,Married,Aurora,4996.55,0,0,Medium,Medium CLV,2013-03-01,,49606,1.2245873240278e-02,Medium Activity,High CLV,High Value Active
249555,41,65874,65874,0,24,Canada,Ontario,Toronto,M2M 7K8,Female,College,,Married,Star,4876.47,1,0,Unknown,Medium CLV,2015-12-01,,65874,0,Medium Activity,Medium CLV,Medium Value Regular
102982,29,34835,34835,0,24,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,84442,Married,Aurora,5235.57,0,0,Medium,Medium CLV,2016-11-01,,34835,0,Medium Activity,High CLV,High Value Active
704150,36,45313,45313,966,24,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,77601,Married,Star,3921.02,0,0,Medium,Medium CLV,2014-10-01,,44347,2.13183854522985e-02,Medium Activity,Low CLV,Low Value Regular
566033,0,0,0,0,24,Canada,Ontario,Toronto,M2P 4F6,Male,College,,Married,Star,4015.21,1,1,Unknown,Medium CLV,2015-06-01,2016-07-01,0,0,No Activity,Low CLV,Low Value Inactive
287212,19,39581,39581,316,24,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,84663,Married,Aurora,5123.48,0,0,Medium,Medium CLV,2018-07-01,,39265,7.98362850862788e-03,Low Activity,High CLV,High Value Low Activity
216652,51,89910,134865,323,11,Canada,Alberta,Edmonton,T3G 6Y6,Male,Bachelor,73496,Married,Nova,5387.93,0,1,Medium,Medium CLV,2018-02-01,2018-10-01,134542,2.39498758017277e-03,High Activity,High CLV,High Value Frequent Flyer
747483,6,10141,10141,459,24,Canada,Quebec,Quebec City,G1B 3L5,Male,College,,Single,Star,4858.07,1,0,Unknown,Medium CLV,2018-07-01,,9682,4.52618085001479e-02,Low Activity,Medium CLV,Medium Value Casual
881198,40,68236,68236,351,24,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,51574,Married,Aurora,5149.3,0,0,Medium,Medium CLV,2015-08-01,,67885,5.14391230435547e-03,Medium Activity,High CLV,High Value Active
264234,36,59726,59726,1196,24,Canada,Ontario,Toronto,M8Y 4K8,Male,College,,Single,Star,4929.81,1,0,Unknown,Medium CLV,2014-01-01,,58530,2.00247798278807e-02,Medium Activity,Medium CLV,Medium Value Regular
549612,58,77487,77487,1971,24,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,,Divorced,Star,3839.61,1,0,Unknown,Medium CLV,2016-03-01,,75516,2.54365248364242e-02,High Activity,Low CLV,Low Value Active
340934,0,0,0,0,24,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,47446,Married,Star,4882.29,0,0,Low,Medium CLV,2018-11-01,,0,0,No Activity,Medium CLV,Medium Value Inactive
826304,36,55163,55163,590,24,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,85182,Married,Star,4758.19,0,0,Medium,Medium CLV,2012-10-01,,54573,1.06955749324729e-02,Medium Activity,Medium CLV,Medium Value Regular
990595,31,50287,50287,572,24,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,47177,Married,Aurora,5016.83,0,0,Low,Medium CLV,2016-12-01,,49715,1.13747091693678e-02,Medium Activity,High CLV,High Value Active
580324,22,39372,39372,1089,24,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,61113,Married,Star,4198.03,0,0,Medium,Medium CLV,2013-06-01,,38283,2.76592502285888e-02,Low Activity,Low CLV,Low Value Low Activity
731001,15,23104,23104,717,24,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,67246,Single,Star,4913.12,0,0,Medium,Medium CLV,2017-10-01,,22387,3.10335872576177e-02,Low Activity,Medium CLV,Medium Value Casual
660030,53,61744,61744,2028,24,Canada,Quebec,Tremblant,H5Y 2S9,Female,College,,Single,Aurora,5234.78,1,0,Unknown,Medium CLV,2013-09-01,,59716,3.2845296708992e-02,High Activity,High CLV,High Value Frequent Flyer
158560,33,47353,47353,1743,24,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,59262,Married,Star,4014.45,0,0,Medium,Medium CLV,2015-12-01,,45610,3.68086499271429e-02,Medium Activity,Low CLV,Low Value Regular
425445,33,43255,43255,498,24,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,77255,Married,Aurora,5041.45,0,0,Medium,Medium CLV,2014-04-01,,42757,1.15131198705352e-02,Medium Activity,High CLV,High Value Active
465931,32,38383,38383,967,24,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,97240,Divorced,Aurora,5170.36,0,0,Medium,Medium CLV,2014-06-01,,37416,2.51934450147201e-02,Medium Activity,High CLV,High Value Active
401336,38,49895,49895,437,24,Canada,Ontario,Toronto,M2P 4F6,Male,College,,Single,Aurora,4936.89,1,0,Unknown,Medium CLV,2013-03-01,,49458,8.75839262451147e-03,Medium Activity,Medium CLV,Medium Value Regular
923268,14,22910,34365,581,11,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,70635,Married,Star,2457.58,0,1,Medium,Low CLV,2018-04-01,2018-12-01,33784,1.69067365051651e-02,Low Activity,Low CLV,Low Value Low Activity
735846,40,54771,54771,2199,24,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,95318,Married,Star,4109.79,0,0,Medium,Medium CLV,2012-08-01,,52572,4.01489839513611e-02,Medium Activity,Low CLV,Low Value Regular
176611,26,36035,36035,608,24,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,56566,Married,Star,4911.12,0,0,Medium,Medium CLV,2017-12-01,,35427,1.68724850839462e-02,Medium Activity,Medium CLV,Medium Value Regular
917352,19,26314,26314,0,24,Canada,Quebec,Montreal,H3T 8L4,Female,Bachelor,63901,Married,Aurora,5000.62,0,1,Medium,Medium CLV,2017-07-01,2018-09-01,26314,0,Low Activity,High CLV,High Value Low Activity
796508,27,40331,40331,386,24,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,62544,Married,Aurora,5059.62,0,0,Medium,Medium CLV,2013-06-01,,39945,9.57080161662245e-03,Medium Activity,High CLV,High Value Active
